Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median.params
[median - label_flipping_attack] Iteration 2399. Test_acc 0.8073
[median - label_flipping_attack] Iteration 2409. Test_acc 0.8239
[median - label_flipping_attack] Iteration 2419. Test_acc 0.8192
[median - label_flipping_attack] Iteration 2429. Test_acc 0.8003
[median - label_flipping_attack] Iteration 2439. Test_acc 0.8265
[median - label_flipping_attack] Iteration 2449. Test_acc 0.6963
[median - label_flipping_attack] Iteration 2459. Test_acc 0.8085
[median - label_flipping_attack] Iteration 2469. Test_acc 0.8001
[median - label_flipping_attack] Iteration 2479. Test_acc 0.7551
[median - label_flipping_attack] Iteration 2489. Test_acc 0.8248
[median - label_flipping_attack] Iteration 2499. Test_acc 0.8326
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median__iter_002500.params
Checkpoint already complete (iter 2500/2500): checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median__iter_002500.params
Skipping run: final checkpoint exists; not loading datasets/models.
