Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean.params
[trimmed_mean - label_flipping_attack] Iteration 1949. Test_acc 0.8463
[trimmed_mean - label_flipping_attack] Iteration 1959. Test_acc 0.8231
[trimmed_mean - label_flipping_attack] Iteration 1969. Test_acc 0.7862
[trimmed_mean - label_flipping_attack] Iteration 1979. Test_acc 0.8209
[trimmed_mean - label_flipping_attack] Iteration 1989. Test_acc 0.7790
[trimmed_mean - label_flipping_attack] Iteration 1999. Test_acc 0.8075
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean__iter_002000.params
[trimmed_mean - label_flipping_attack] Iteration 2009. Test_acc 0.7970
[trimmed_mean - label_flipping_attack] Iteration 2019. Test_acc 0.8397
[trimmed_mean - label_flipping_attack] Iteration 2029. Test_acc 0.8315
[trimmed_mean - label_flipping_attack] Iteration 2039. Test_acc 0.8266
[trimmed_mean - label_flipping_attack] Iteration 2049. Test_acc 0.8202
[trimmed_mean - label_flipping_attack] Iteration 2059. Test_acc 0.7577
[trimmed_mean - label_flipping_attack] Iteration 2069. Test_acc 0.8126
[trimmed_mean - label_flipping_attack] Iteration 2079. Test_acc 0.7848
[trimmed_mean - label_flipping_attack] Iteration 2089. Test_acc 0.8303
[trimmed_mean - label_flipping_attack] Iteration 2099. Test_acc 0.7588
[trimmed_mean - label_flipping_attack] Iteration 2109. Test_acc 0.8374
[trimmed_mean - label_flipping_attack] Iteration 2119. Test_acc 0.8505
[trimmed_mean - label_flipping_attack] Iteration 2129. Test_acc 0.8174
[trimmed_mean - label_flipping_attack] Iteration 2139. Test_acc 0.7459
[trimmed_mean - label_flipping_attack] Iteration 2149. Test_acc 0.7974
[trimmed_mean - label_flipping_attack] Iteration 2159. Test_acc 0.8461
[trimmed_mean - label_flipping_attack] Iteration 2169. Test_acc 0.8352
[trimmed_mean - label_flipping_attack] Iteration 2179. Test_acc 0.8372
[trimmed_mean - label_flipping_attack] Iteration 2189. Test_acc 0.6425
[trimmed_mean - label_flipping_attack] Iteration 2199. Test_acc 0.8154
[trimmed_mean - label_flipping_attack] Iteration 2209. Test_acc 0.7897
[trimmed_mean - label_flipping_attack] Iteration 2219. Test_acc 0.8229
[trimmed_mean - label_flipping_attack] Iteration 2229. Test_acc 0.7575
[trimmed_mean - label_flipping_attack] Iteration 2239. Test_acc 0.8268
[trimmed_mean - label_flipping_attack] Iteration 2249. Test_acc 0.8351
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean__iter_002250.params
[trimmed_mean - label_flipping_attack] Iteration 2259. Test_acc 0.8414
[trimmed_mean - label_flipping_attack] Iteration 2269. Test_acc 0.8133
[trimmed_mean - label_flipping_attack] Iteration 2279. Test_acc 0.8264
[trimmed_mean - label_flipping_attack] Iteration 2289. Test_acc 0.8423
[trimmed_mean - label_flipping_attack] Iteration 2299. Test_acc 0.8370
[trimmed_mean - label_flipping_attack] Iteration 2309. Test_acc 0.8193
[trimmed_mean - label_flipping_attack] Iteration 2319. Test_acc 0.8294
[trimmed_mean - label_flipping_attack] Iteration 2329. Test_acc 0.6836
[trimmed_mean - label_flipping_attack] Iteration 2339. Test_acc 0.8372
[trimmed_mean - label_flipping_attack] Iteration 2349. Test_acc 0.7552
[trimmed_mean - label_flipping_attack] Iteration 2359. Test_acc 0.7953
[trimmed_mean - label_flipping_attack] Iteration 2369. Test_acc 0.3822
[trimmed_mean - label_flipping_attack] Iteration 2379. Test_acc 0.6498
[trimmed_mean - label_flipping_attack] Iteration 2389. Test_acc 0.8101
[trimmed_mean - label_flipping_attack] Iteration 2399. Test_acc 0.8227
[trimmed_mean - label_flipping_attack] Iteration 2409. Test_acc 0.8012
[trimmed_mean - label_flipping_attack] Iteration 2419. Test_acc 0.8035
[trimmed_mean - label_flipping_attack] Iteration 2429. Test_acc 0.7536
[trimmed_mean - label_flipping_attack] Iteration 2439. Test_acc 0.8152
[trimmed_mean - label_flipping_attack] Iteration 2449. Test_acc 0.8121
[trimmed_mean - label_flipping_attack] Iteration 2459. Test_acc 0.8141
[trimmed_mean - label_flipping_attack] Iteration 2469. Test_acc 0.8388
[trimmed_mean - label_flipping_attack] Iteration 2479. Test_acc 0.8268
[trimmed_mean - label_flipping_attack] Iteration 2489. Test_acc 0.8457
[trimmed_mean - label_flipping_attack] Iteration 2499. Test_acc 0.7670
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean__iter_002500.params
Checkpoint already complete (iter 2500/2500): checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean__iter_002500.params
Skipping run: final checkpoint exists; not loading datasets/models.
