Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust.params
[fltrust - trim_attack] Iteration 2269. Test_acc 0.8834
[fltrust - trim_attack] Iteration 2279. Test_acc 0.8844
[fltrust - trim_attack] Iteration 2289. Test_acc 0.8890
[fltrust - trim_attack] Iteration 2299. Test_acc 0.8867
[fltrust - trim_attack] Iteration 2309. Test_acc 0.8895
[fltrust - trim_attack] Iteration 2319. Test_acc 0.8895
[fltrust - trim_attack] Iteration 2329. Test_acc 0.8935
[fltrust - trim_attack] Iteration 2339. Test_acc 0.8896
[fltrust - trim_attack] Iteration 2349. Test_acc 0.8912
[fltrust - trim_attack] Iteration 2359. Test_acc 0.8847
[fltrust - trim_attack] Iteration 2369. Test_acc 0.8879
[fltrust - trim_attack] Iteration 2379. Test_acc 0.8897
[fltrust - trim_attack] Iteration 2389. Test_acc 0.8910
[fltrust - trim_attack] Iteration 2399. Test_acc 0.8925
[fltrust - trim_attack] Iteration 2409. Test_acc 0.8935
[fltrust - trim_attack] Iteration 2419. Test_acc 0.8925
[fltrust - trim_attack] Iteration 2429. Test_acc 0.8927
[fltrust - trim_attack] Iteration 2439. Test_acc 0.8872
[fltrust - trim_attack] Iteration 2449. Test_acc 0.8922
[fltrust - trim_attack] Iteration 2459. Test_acc 0.8945
[fltrust - trim_attack] Iteration 2469. Test_acc 0.8942
[fltrust - trim_attack] Iteration 2479. Test_acc 0.8921
[fltrust - trim_attack] Iteration 2489. Test_acc 0.8931
[fltrust - trim_attack] Iteration 2499. Test_acc 0.8952
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust__iter_002500.params
