Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum.params
[krum - label_flipping_attack] Iteration 2359. Test_acc 0.8407
[krum - label_flipping_attack] Iteration 2369. Test_acc 0.8436
[krum - label_flipping_attack] Iteration 2379. Test_acc 0.8422
[krum - label_flipping_attack] Iteration 2389. Test_acc 0.8356
[krum - label_flipping_attack] Iteration 2399. Test_acc 0.8401
[krum - label_flipping_attack] Iteration 2409. Test_acc 0.8375
[krum - label_flipping_attack] Iteration 2419. Test_acc 0.8225
[krum - label_flipping_attack] Iteration 2429. Test_acc 0.8354
[krum - label_flipping_attack] Iteration 2439. Test_acc 0.8389
[krum - label_flipping_attack] Iteration 2449. Test_acc 0.8443
[krum - label_flipping_attack] Iteration 2459. Test_acc 0.8439
[krum - label_flipping_attack] Iteration 2469. Test_acc 0.8348
[krum - label_flipping_attack] Iteration 2479. Test_acc 0.8372
[krum - label_flipping_attack] Iteration 2489. Test_acc 0.8378
[krum - label_flipping_attack] Iteration 2499. Test_acc 0.8408
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_002500.params
