Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median.params
Scaling attack: train with labels 7 -> 1 on Byzantine clients; attack success rate = fraction of test images with true label 7 that the global model predicts as 1 (FLTrust).
[median - scaling_attack] Iteration 1499. Test_acc 0.5523  Attack_succ_rate 0.0000 (src=7 tgt=1)
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median__iter_001500.params
[median - scaling_attack] Iteration 1509. Test_acc 0.5525  Attack_succ_rate 0.0200 (src=7 tgt=1)
[median - scaling_attack] Iteration 1519. Test_acc 0.5893  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 1529. Test_acc 0.6169  Attack_succ_rate 0.0150 (src=7 tgt=1)
[median - scaling_attack] Iteration 1539. Test_acc 0.6856  Attack_succ_rate 0.0030 (src=7 tgt=1)
[median - scaling_attack] Iteration 1549. Test_acc 0.3455  Attack_succ_rate 0.1390 (src=7 tgt=1)
[median - scaling_attack] Iteration 1559. Test_acc 0.6317  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 1569. Test_acc 0.5739  Attack_succ_rate 0.0530 (src=7 tgt=1)
[median - scaling_attack] Iteration 1579. Test_acc 0.1000  Attack_succ_rate 1.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1589. Test_acc 0.1000  Attack_succ_rate 1.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1599. Test_acc 0.1000  Attack_succ_rate 1.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1609. Test_acc 0.1000  Attack_succ_rate 1.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1619. Test_acc 0.1011  Attack_succ_rate 0.9810 (src=7 tgt=1)
[median - scaling_attack] Iteration 1629. Test_acc 0.1005  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1639. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1649. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1659. Test_acc 0.0999  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1669. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1679. Test_acc 0.0981  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1689. Test_acc 0.1029  Attack_succ_rate 0.9980 (src=7 tgt=1)
[median - scaling_attack] Iteration 1699. Test_acc 0.1073  Attack_succ_rate 0.9940 (src=7 tgt=1)
[median - scaling_attack] Iteration 1709. Test_acc 0.1014  Attack_succ_rate 0.9980 (src=7 tgt=1)
[median - scaling_attack] Iteration 1719. Test_acc 0.1054  Attack_succ_rate 0.9690 (src=7 tgt=1)
